UF,Como ficou sabendo do curso?,Género,Categoria,Dias após o início das inscrições,Auxiliar,Data Inscrição,Inscrição
AM,Propaganda do Instagram,F,Hematologia Forense e Entomologia Forense,0,44680,29/04/2022 22:16:00,Aprovado
SP,Nenhuma das opções anteriores,F,Hematologia Forense,3,44677,26/04/2022 22:40:00,Aprovado
CE,No Instagram da Alquimista Jr.,F,Hematologia Forense e Entomologia Forense,3,44677,26/04/2022 01:23:00,Aprovado
CE,Grupo de WhatsApp,F,Inscrições para Alunos da UVA,4,44676,25/04/2022 23:39:00,Aprovado
SE,No Instagram da Alquimista Jr.,F,Hematologia Forense e Entomologia Forense,4,44676,25/04/2022 20:06:00,Aprovado
MA,No Instagram da Alquimista Jr.,F,Inscrições em Dupla,4,44676,25/04/2022 18:54:00,Aprovado
MA,Indicação de amigo,F,Inscrições em Dupla,4,44676,25/04/2022 18:54:00,Aprovado
RJ,No Instagram da Alquimista Jr.,F,Hematologia Forense e Entomologia Forense,4,44676,25/04/2022 16:45:00,Aprovado
BA,Propaganda do Instagram,M,Inscrições em Dupla,4,44676,25/04/2022 15:28:00,Aprovado
,Indicação de amigo,M,Inscrições em Dupla,4,44676,25/04/2022 15:28:00,Aprovado
,Indicação de amigo,M,Inscrições em Dupla,4,44676,25/04/2022 14:15:00,Aprovado
MA,Indicação de amigo,F,Inscrições em Dupla,4,44676,25/04/2022 14:15:00,Aprovado
PE,Propaganda do Instagram,F,Hematologia Forense e Entomologia Forense,4,44676,25/04/2022 13:39:00,Aprovado
PR,Propaganda do Instagram,F,Hematologia Forense e Entomologia Forense,4,44676,25/04/2022 11:37:00,Aprovado
PE,Propaganda do Instagram,F,Hematologia Forense e Entomologia Forense,4,44676,25/04/2022 10:28:00,Aprovado
PI,No Instagram da Alquimista Jr.,F,Inscrições em Dupla,4,44676,25/04/2022 00:56:00,Aprovado
,Indicação de amigo,F,Inscrições em Dupla,4,44676,25/04/2022 00:56:00,Aprovado
BA,Indicação de amigo,F,Hematologia Forense e Entomologia Forense,5,44675,24/04/2022 23:06:00,Aprovado
PI,Propaganda do Instagram,F,Hematologia Forense e Entomologia Forense,5,44675,24/04/2022 20:54:00,Aprovado
SP,Propaganda do Instagram,F,Hematologia Forense e Entomologia Forense,5,44675,24/04/2022 16:28:00,Aprovado
SP,Indicação de amigo,M,Hematologia Forense e Entomologia Forense,5,44675,24/04/2022 05:13:00,Aprovado
PI,Grupo de WhatsApp,F,Inscrições em Dupla,6,44674,23/04/2022 19:42:00,Aprovado
,Grupo de WhatsApp,F,Inscrições em Dupla,6,44674,23/04/2022 19:42:00,Aprovado
AM,Nenhuma das opções anteriores,M,Hematologia Forense e Entomologia Forense,6,44674,23/04/2022 19:19:00,Aprovado
AL,No Instagram da Alquimista Jr.,F,Hematologia Forense e Entomologia Forense,6,44674,23/04/2022 07:05:00,Aprovado
AL,Propaganda do Instagram,F,Hematologia Forense e Entomologia Forense,7,44673,22/04/2022 23:18:00,Aprovado
SP,No Instagram da Alquimista Jr.,F,Hematologia Forense e Entomologia Forense,8,44672,21/04/2022 22:59:00,Aprovado
,No Instagram da Alquimista Jr.,F,Hematologia Forense e Entomologia Forense,8,44672,21/04/2022 20:20:00,Aprovado
CE,Grupo de WhatsApp,F,Inscrições para Alunos da UVA,8,44672,21/04/2022 15:14:00,Aprovado
SC,Nenhuma das opções anteriores,F,Hematologia Forense e Entomologia Forense,8,44672,21/04/2022 14:28:00,Aprovado
DF,Propaganda do Instagram,F,Hematologia Forense e Entomologia Forense,8,44672,21/04/2022 12:45:00,Aprovado
PR,Propaganda do Instagram,F,Hematologia Forense e Entomologia Forense,8,44672,21/04/2022 12:05:00,Aprovado
RS,No Instagram da Alquimista Jr.,F,Hematologia Forense e Entomologia Forense,9,44671,20/04/2022 22:59:00,Aprovado
